,ZHVI_2022,Median_Income_2022
count,3052.0,3052.0
mean,247972.34059321633,63301.75688073395
std,161598.55017779162,16253.552842394989
min,50969.34636454147,28972.0
25%,154201.26202909846,52532.75
50%,206014.92357819612,60833.5
75%,292966.20398821856,70522.5
max,2820769.6760332496,167605.0
